id,title,in_stock,price,players,age,maker,bbg_url,url
2010,Спіймай усіх (Hot Pot),В наявності,840.0,2 - 4,5+,Trefl,,https://geekach.com.ua/spiymay-usikh-hot-pot/
lelekn001,13 Підказок (13 Clues),В наявності,1175.0,2 - 6,8+,Lelekan,,https://geekach.com.ua/13-pidkazok-13-clues/
ASMRSC301UA,Кубики історій Рорі: Класика,В наявності,549.0,1 - 12,6+,Asmodee,,https://geekach.com.ua/kubyky-istorii-classic-rorys-story-cubes/
SGT 221 UKR,Кораловий риф. Дорожня магнітна гра,В наявності,449.0,1,4+,SmartGames,,https://geekach.com.ua/koraloviy-rif.-dorozhnya-magnitna-gra/
SGT 250 UKR,Розумний сирник. Дорожня магнітна гра,В наявності,469.0,1,6+,SmartGames,,https://geekach.com.ua/rozumniy-sirnik.-dorozhnya-magnitna-gra/
SGT 310 UKR,Дельфіни-акробати. Дорожня магнітна гра,В наявності,399.0,1,7+,SmartGames,,https://geekach.com.ua/delfini-akrobati.-dorozhnya-magnitna-gra/
58006,Джоллі Поллі (Jolly Polly),В наявності,424.0,2 - 4,5+,Tactic,,https://geekach.com.ua/dzholli-polli-jolly-polly/
83781,Моє місто (Granna),В наявності,679.0,2 - 4,8+,Granna,,https://geekach.com.ua/moie-misto/
82166,За грибами в зачарований ліс,В наявності,1099.0,2 - 4,4+,Granna,,https://geekach.com.ua/za-gribami-v-zacharovaniy-lis/
464213,Втеча з ферми. Дизайн № 1,В наявності,330.0,2 - 5,8+,Ранок,,https://geekach.com.ua/vtecha-z-fermi.-dizayn-1/
399059,Гра-вікторина. Тварини світу,В наявності,330.0,2 - 10,7+,Ранок,,https://geekach.com.ua/gra-viktorina.-tvarini-svitu/
