id,title,in_stock,price,players,age,maker,bbg_url,url
GKCH194cv,Цивілізація. Новий світанок (Civilization: A New Dawn),В наявності,2650.0,2-4,13+,Geekach,https://boardgamegeek.com/boardgame/233247/civilization-new-dawn,https://gameland.com.ua/civilization-a-new-dawn-angl./
1497488065,Замки Бургундії. Українське видання (The Castles of Burgundy),В наявності,2230.0,1-4,12+,alea,https://boardgamegeek.com/boardgame/271320/castles-burgundy,https://gameland.com.ua/zamki-burgundii.-ukrainske-vidannya/
1497490272,Прадавні історії (Prehistories),В наявності,1045.0,2-5,8+,Ігромаг,https://boardgamegeek.com/boardgame/318183/prehistories,https://gameland.com.ua/pradavni-istorii-prehistories/
1497490643,Книга магії (Spellbook),В наявності,1495.0,1-4,12+,Geekach,https://boardgamegeek.com/boardgame/391834/spellbook,https://gameland.com.ua/knyha-mahii-spellbook/
1497490904,"Camel Up (Second Edition) (Верблюди, вперед 2.0)",В наявності,1799.0,3-8,8+,Plan B Games,https://boardgamegeek.com/boardgame/260605/camel-second-edition,https://gameland.com.ua/camel-up-second-edition-verbliudy-vpered-2.0/
1489910205,Цербер (Cerberus),В наявності,1395.0,3-7,10+,Geekach,https://boardgamegeek.com/boardgame/256918/cerberus,https://gameland.com.ua/tserber/
1497487941,Анкх. Боги Єгипту (Ankh: Gods of Egypt) (укр.),В наявності,4300.0,2-5,14+,Woodcat,https://boardgamegeek.com/boardgame/285967/ankh-gods-egypt,https://gameland.com.ua/ankkh.-bogi-iegiptu-ankh-gods-of-egypt-ukr./
1497491733,Обряди Кола Року,В наявності,950.0,2-5,7+,Etnoboard,,https://gameland.com.ua/obriady-kola-roku/
1497491557,SETI: Пошуки позаземного життя,В наявності,3220.0,1-4,14+,Feelindigo,https://boardgamegeek.com/boardgame/418059/seti-search-for-extraterrestrial-intelligence,https://gameland.com.ua/seti-poshuky-pozazemnoho-zhyttia/
1497490595,First Rat,В наявності,2199.0,1-5,10+,Pegasus Spiele,https://boardgamegeek.com/boardgame/347703/first-rat,https://gameland.com.ua/first-rat/
1497490124,Гікорі Дікорі (Hickory Dickory),В наявності,2350.0,1-4,10+,Geekach,https://boardgamegeek.com/boardgame/367490/hickory-dickory,https://gameland.com.ua/hikori-dikori-hickory-dickory/
1497491013,Знак Старших богів (Elder Sign),В наявності,1850.0,1-8,13+,Geekach,https://boardgamegeek.com/boardgame/100423/elder-sign,https://gameland.com.ua/znak-starshykh-bohiv-elder-sign/
1497489227,Істота. (The Thing: The Boardgame),В наявності,2250.0,1-8,14+,Geekach,https://boardgamegeek.com/boardgame/295293/thing-boardgame,https://gameland.com.ua/the-thing-the-boardgame/
1497490587,Зоряні війни: Повстання (Star Wars: Rebellion),В наявності,4600.0,2-4,14+,Geekach,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,https://gameland.com.ua/star-wars-rebellion-zoriani-viiny-povstannia/
1497489883,Woodcraft,В наявності,2065.0,1-4,10+,Delicious Games,https://boardgamegeek.com/boardgame/355093/woodcraft,https://gameland.com.ua/woodcraft/
1497491150,Білий замок (The White Castle),В наявності,1250.0,1-4,12+,Games 7 Days,https://boardgamegeek.com/boardgame/371942/white-castle,https://gameland.com.ua/bilyi-zamok-the-white-castle/
1497487938,П'ять каст (Five Tribes) (укр.),В наявності,2750.0,2-4,13+,Lord Of Boards,https://boardgamegeek.com/boardgame/157354/five-tribes,https://gameland.com.ua/pyat-kast-five-tribes-ukr./
1497488061,Крила (Wingspan) (укр.),В наявності,2595.0,1-5,10+,Ігромаг,https://boardgamegeek.com/boardgame/266192/wingspan,https://gameland.com.ua/krila-wingspan-ukr./
1497489369,Каркасон (Carcassonne),В наявності,1200.0,2-5,7+,Feelindigo,https://boardgamegeek.com/boardgame/822/carcassonne,https://gameland.com.ua/karkason.-nove-vydannia-carcassonne/
1497489818,Western Empires,В наявності,4650.0,5-9,13+,999 Games,https://boardgamegeek.com/boardgame/267304/western-empires,https://gameland.com.ua/western-empires/
1497491746,Фортеця Комбо (Castle Combo),В наявності,880.0,2-5,10+,Feelindigo,https://boardgamegeek.com/boardgame/416851/castle-combo,https://gameland.com.ua/fortetsia-kombo-castle-combo/
1497490316,Чотири темпераменти. Делюкс видання (Four Humours),В наявності,1725.0,1-6,10+,Games 7 Days,https://boardgamegeek.com/boardgame/313093/four-humours,https://gameland.com.ua/chotyry-temperamenty.-deliuks-vydannia-four-humours/
1497491737,Хитавиця (Viking See-Saw),В наявності,920.0,2-4,8+,Pakufuda Games,,https://gameland.com.ua/khytavytsia-viking-see-saw/
